指标,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
海南省,0,7972.7,7590.2,6912.8,6508.9,5640.8,5442.1,5004.2,4552.9,4151.0,3782.7,3541.2,3201.9,2863.6,2525.1,2073.7,1652.2,1502.0,1252.8,1040.3
重庆市,0,32046.7,30614.3,28771.8,28092.5,25158.1,23689.6,21866.8,20260.8,18271.1,16305.9,14911.7,13275.8,11797.8,10314.1,8186.5,6744.1,5978.8,4837.5,3949.0
四川省,0,64537.9,61353.4,57609.4,55131.3,49445.1,47168.6,43539.0,38517.1,33879.2,30829.1,29357.5,26858.4,24224.9,21313.1,17466.7,14396.2,12941.4,10694.5,8602.1
贵州省,0,22645.7,21513.7,20579.5,19921.3,18308.3,17251.8,15886.6,14067.3,12133.9,10887.1,9297.5,8079.9,6828.1,5690.5,4583.7,3910.7,3551.3,2883.0,2292.3
云南省,0,31423.4,30595.8,29301.1,27895.3,25214.5,23902.1,21427.5,18864.6,16773.6,15358.6,14275.1,13027.0,11266.3,9666.2,7869.9,6690.2,6120.6,5166.0,4157.7
西藏自治区,0,2789.1,2532.9,2235.4,2145.1,1956.5,1750.3,1583.5,1381.0,1197.4,1063.6,954.8,840.3,721.1,620.8,521.4,453.0,405.2,349.8,290.6
陕西省,0,35437.1,33976.5,33035.6,30476.6,26297.0,26214.5,24354.8,21776.1,19354.6,18188.3,17635.6,16106.3,14311.5,12320.1,9973.0,8094.9,7256.8,5739.7,4642.1
甘肃省,0,13020.5,12345.7,11553.6,10608.0,9323.1,9053.3,8364.7,7642.6,7207.1,6793.4,6629.4,6108.3,5469.1,4880.7,3987.7,3313.8,3112.5,2707.3,2230.0
青海省,0,3965.5,3849.2,3677.4,3446.3,3080.6,3020.2,2799.9,2517.0,2310.7,2054.3,1875.1,1736.1,1547.9,1388.3,1160.8,953.3,909.2,729.4,592.7
宁夏回族自治区,0,5520.2,5368.8,5168.1,4666.5,4036.2,3841.5,3580.6,3271.6,2853.3,2644.7,2516.4,2364.9,2162.0,1959.3,1595.3,1284.8,1153.7,887.9,691.6
新疆维吾尔自治区,0,20492.4,19603.3,18550.5,16791.5,14262.2,14024.9,13110.1,11460.8,9913.9,9545.7,9400.2,8518.4,7499.5,6607.6,5425.4,4289.5,4183.9,3536.4,2984.5
